City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Mataura,NZ,2021-10-16 13:34:40,-46.1927,168.8643,48.31,82,100,6.62,overcast clouds
61,Ponta Delgada,PT,2021-10-16 13:37:05,37.7333,-25.6667,72.32,83,40,11.5,scattered clouds
62,Yellowknife,CA,2021-10-16 13:34:10,62.456,-114.3525,36.41,100,90,5.75,overcast clouds
63,Georgetown,MY,2021-10-16 13:29:06,5.4112,100.3354,84.13,84,40,4.61,thunderstorm with light rain
64,Geraldton,AU,2021-10-16 13:37:06,-28.7667,114.6,63.12,77,40,0.0,scattered clouds
65,Zhengjiatun,CN,2021-10-16 13:37:06,43.5064,123.5064,29.26,34,0,9.06,clear sky
66,Barrow,US,2021-10-16 13:34:38,71.2906,-156.7887,21.22,73,90,13.8,light snow
67,Khorixas,NA,2021-10-16 13:37:07,-20.3667,14.9667,84.9,9,0,12.88,clear sky
68,Port Lincoln,AU,2021-10-16 13:37:07,-34.7333,135.8667,52.48,76,36,4.65,scattered clouds
69,Tutoia,BR,2021-10-16 13:37:08,-2.7619,-42.2744,89.51,53,96,13.69,overcast clouds
70,Hilo,US,2021-10-16 13:37:08,19.7297,-155.09,72.28,92,90,8.05,moderate rain
71,Vostok,RU,2021-10-16 13:37:08,46.4856,135.8833,20.41,82,98,11.74,overcast clouds
72,Kahului,US,2021-10-16 13:37:09,20.8947,-156.47,73.85,91,90,12.66,moderate rain
73,Hithadhoo,MV,2021-10-16 13:33:25,-0.6,73.0833,83.48,71,98,20.24,overcast clouds
74,Praia Da Vitoria,PT,2021-10-16 13:36:31,38.7333,-27.0667,71.85,83,40,14.97,scattered clouds
75,Avera,US,2021-10-16 13:37:10,33.194,-82.5271,72.91,71,2,11.72,clear sky
76,Arraial Do Cabo,BR,2021-10-16 13:33:28,-22.9661,-42.0278,78.76,83,75,11.5,light rain
77,Atuona,PF,2021-10-16 13:37:10,-9.8,-139.0333,77.0,79,32,21.12,light rain
78,Butembo,CD,2021-10-16 13:37:11,0.15,29.2833,64.72,90,100,1.92,light rain
79,Punta Arenas,CL,2021-10-16 13:37:11,-53.15,-70.9167,39.31,70,75,34.52,light rain
80,South Sioux City,US,2021-10-16 13:37:11,42.4739,-96.4136,41.74,79,1,3.44,clear sky
81,Guerrero Negro,MX,2021-10-16 13:37:12,27.9769,-114.0611,66.54,54,0,3.29,clear sky
82,Baykit,RU,2021-10-16 13:37:12,61.67,96.37,30.61,97,60,3.51,broken clouds
83,Namibe,AO,2021-10-16 13:37:13,-15.1961,12.1522,75.83,69,40,11.5,scattered clouds
84,El Bordo,CO,2021-10-16 13:37:13,2.117,-76.9821,74.71,75,87,0.69,overcast clouds
