City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Banda Aceh,ID,81.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
344,Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
350,Lucea,JM,84.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
351,Quang Ngai,VN,77.34,overcast clouds,15.1167,108.8,Central Hotel
352,Wundanyi,KE,75.99,broken clouds,-3.4019,38.364,Taita Rocks Hotel
360,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
361,Campo De Criptana,ES,72.61,overcast clouds,39.4046,-3.1249,La Casa de la Torrecilla
364,Samarai,PG,80.74,overcast clouds,-10.6167,150.6667,Nuli Sapi
366,Victoria,HK,77.05,light rain,22.2855,114.1577,Mini Hotel Central
367,San Rafael Del Sur,NI,76.17,broken clouds,11.8485,-86.4384,Hospedaje El Chino
370,Matara,LK,79.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
371,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
373,Riberalta,BO,73.6,thunderstorm with light rain,-10.9833,-66.1,Hotel Colonial
378,Peniche,PT,76.75,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
380,Kawalu,ID,73.98,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
383,Lichinga,MZ,82.49,broken clouds,-13.3128,35.2406,Residencial Bendiak
389,Trincomalee,LK,83.95,broken clouds,8.5711,81.2335,Welcombe Hotel
390,Soyo,AO,82.45,broken clouds,-6.1349,12.3689,Hotel Mpampa
392,Sao Jose Da Coroa Grande,BR,82.6,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
393,Faanui,PF,79.66,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
398,Lata,PT,71.04,overcast clouds,40.1629,-8.3327,Casa Maquia
400,Mahendranagar,NP,78.31,clear sky,28.9167,80.3333,Agan Cottage
401,Entebbe,UG,79.12,few clouds,0.0644,32.4469,WB APARTMENT
403,Albignasego,IT,70.05,broken clouds,45.3475,11.8672,Hotel Volta
406,Kunda,IN,84.31,overcast clouds,25.7167,81.5167,Abhinav Mishra
407,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
409,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
414,Phan Thiet,VN,77.85,light rain,10.9333,108.1,Hotel Saigon-PT
415,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
419,Unguia,CO,78.08,overcast clouds,8.0434,-77.0945,Residencias El Golfo
422,Jalu,LY,82.65,clear sky,29.0331,21.5482,صاحبة الفخامة
423,Barcelona,ES,75.45,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
424,Soledad,CO,84.33,scattered clouds,10.9184,-74.7646,Cochi y Cocho
425,Butterworth,MY,84.24,scattered clouds,5.3991,100.3638,Cititel Penang
426,Caravelas,BR,82.08,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
427,Mayumba,GA,79.41,overcast clouds,-3.432,10.6554,LIKWALE LODGE
428,Shingu,JP,70.23,scattered clouds,33.7333,135.9833,Shingu UI Hotel
434,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
435,Asgabat,TM,73.26,clear sky,37.95,58.3833,Oguzkent Hotel
437,Labuhan,ID,84.09,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
438,Sucila,MX,82.87,clear sky,21.15,-88.3167,POSADA YAMI’YA
442,Sargodha,PK,84.29,clear sky,32.0836,72.6711,Ayesha Hostel
443,Cairns,AU,75.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
444,Santa Helena De Goias,BR,76.62,overcast clouds,-17.8136,-50.5969,Hotel Cana Verde
446,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
447,Portoferraio,IT,72.99,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
448,Cepu,ID,83.48,overcast clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
456,Kirakira,SB,78.93,overcast clouds,-10.4544,161.9205,SanBiz Lodge
457,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
458,Morondava,MG,81.07,clear sky,-20.2833,44.2833,La Case Bambou
461,Lakatoro,VU,79.09,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
479,Kieta,PG,80.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
482,Puerto Madero,MX,77.2,broken clouds,14.7208,-92.4215,Hotel La Central
483,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
486,Sijunjung,ID,76.5,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
490,Irinjalakuda,IN,77.83,moderate rain,10.3333,76.2333,Kallada Regency
491,Saint-Medard-En-Jalles,FR,70.3,clear sky,44.8969,-0.7214,ibis Styles Bordeaux Saint-Médard
494,Pemangkat,ID,81.01,moderate rain,1.1667,108.9667,Ramah Kost KITA
495,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
504,Alofi,NU,77.36,clear sky,-19.0595,-169.9187,Taloa Heights
512,Jatai,BR,84.25,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
516,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
517,Kaseda,JP,70.84,broken clouds,31.4167,130.3167,Sun Stay Kaseda
519,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
521,Shimoda,JP,71.71,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
523,Wilmington,US,78.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
530,Tabuk,PH,74.55,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
533,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
535,Luanda,AO,78.76,few clouds,-8.8368,13.2343,Hotel Fórum
536,Gigmoto,PH,79.81,broken clouds,13.7796,124.39,Cj's Travellers Inn
541,Anuradhapura,LK,79.56,scattered clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
542,Abha,SA,78.62,clear sky,18.2164,42.5053,Abha Hotel
545,Pandan,PH,79.41,broken clouds,14.0453,124.1694,Bonifacio Lodge
546,Dinanagar,IN,80.85,clear sky,32.15,75.4667,Hotel Raavi
558,Ormara,PK,81.99,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
560,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
561,Akot,IN,75.81,moderate rain,21.0964,77.0586,Shri PRASAD
563,Richards Bay,ZA,70.65,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
564,Port Blair,IN,80.44,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
565,Mahina,PF,74.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
567,Mchinji,MW,83.35,broken clouds,-13.7984,32.8802,Kayesa Inn
569,Westport,US,72.9,broken clouds,41.1415,-73.3579,The Westport Inn
570,Itoman,JP,80.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
571,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
573,Warwick,US,71.94,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
579,Ranong,TH,76.93,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
587,The Hammocks,US,84.02,clear sky,25.6715,-80.4445,Casa tío Hernan
589,Waingapu,ID,81.57,few clouds,-9.6567,120.2641,Pondok Wisata Elim
603,Hirara,JP,80.65,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
604,Katobu,ID,77.27,scattered clouds,-4.9408,122.5276,La Ode Husein
607,Garchitorena,PH,80.47,overcast clouds,13.8804,123.6946,Site
609,Kismayo,SO,80.69,broken clouds,-0.3582,42.5454,Agan-Hotel
615,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
625,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
627,Elbistan,TR,73.47,clear sky,38.2059,37.1983,Sword Hotel
629,Sabang,ID,83.05,overcast clouds,5.8933,95.3214,Hotel Citra
635,Ripoll,ES,73.36,clear sky,42.2006,2.1903,Hotel Solana Del Ter
638,Kimbe,PG,77.2,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
642,Shirgaon,IN,81.5,broken clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
646,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
647,Hobyo,SO,80.04,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
653,Tezu,IN,80.08,scattered clouds,27.9167,96.1667,Circuit House
655,Karpathos,GR,73.36,scattered clouds,35.507,27.2132,Alex
657,Marsh Harbour,BS,80.24,few clouds,26.5412,-77.0636,Abaco Beach Resort
661,Kokoda,PG,75.15,overcast clouds,-8.8785,147.7407,Daito Guest House
663,Harper,LR,82.27,light rain,4.375,-7.7169,Screensaver
664,Newark,US,72.91,broken clouds,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
667,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
672,Manaure,CO,84.13,overcast clouds,11.7751,-72.4445,Hotel Palaaima
674,Iguape,BR,72.37,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
677,Boyolangu,ID,76.15,broken clouds,-8.1181,111.8935,Yos ega cv
678,Kayunga,UG,74.19,light rain,0.7025,32.8886,Katikomu Hotel
682,Darab,IR,79.68,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
683,Tecoanapa,MX,79.32,scattered clouds,16.5167,-98.75,Hotel Manglares
684,Isangel,VU,75.88,overcast clouds,-19.55,169.2667,Tanna Lodge
685,Bardiyah,LY,77.9,clear sky,31.7561,25.0865,بورتو بردية
688,Calvia,ES,75.67,scattered clouds,39.5657,2.5062,Castell Son Claret
